field	value	hex_color
host_type	Human	#0C88C5
host_type	Mosquito	#49C50C
host	Homo sapiens	#0C88C5
host	Aedes aegypti	#49C50C
region	Center_West	#C50C0C
region	North	#0C88C5
region	Northeast	#C5880C
region	South	#0CA6C5
region	Southeast	#690CC5
division	DF	#660000
division	GO	#C50C0C
division	MS	#E85454
division	MT	#F0B8B8
division		#004466
division	AC	#046595
division	AM	#0B85C1
division	AP	#15A4EA
division	PA	#4AB4E8
division	RO	#7BC6EA
division	RR	#AAD8EE
division	TO	#D6EBF5
division	AL	#664400
division	BA	#956504
division	MA	#C1850B
division	PB	#EAA415
division	PE	#E8B44A
division	PI	#EAC67B
division	RN	#EED8AA
division	SE	#F5EBD6
division	PR	#078CA7
division	RS	#98DEEC
division	MG	#450387
division	RJ	#8E30E8
division	SP	#D4B8F0
location		#9A49E8
location	Anapolis	#760101
location	Aparecida_de_Goiania	#850303
location	Bom_Jesus_de_Goias	#950404
location	Campos_Belos	#A40606
location	Goiania	#E8BC60
location	Luziania	#C10B0B
location	Perolandia	#CF0E0E
location	Senador_Canedo	#DC1212
location	Trindade	#EA1515
location	Valparaiso_de_Goias	#E92727
location	Amambai	#E83939
location	Campo_Grande	#E84A4A
location	Coronel_Sapucaia	#E85B5B
location	Maracaju	#E96B6B
location	Mundo_novo	#EA7B7B
location	Paranhos	#EB8B8B
location	Ponta_Pora	#EC9B9B
location	Cuiaba	#EEAAAA
location	Mato_Grosso	#F0B9B9
location	Sinop	#F2C8C8
location	Varzea_Grande	#F5D6D6
location	Manaus	#02537C
location	Laranjal_do_Jari	#046392
location	Macapa	#0772A7
location	Oiapoque	#0A81BB
location	Belem	#0E8FCF
location	Boa_Vista	#139EE2
location	Bonfim	#24A8E9
location	Iracema	#3CB0E8
location	Araguaina	#54B8E8
location	Colinas_do_Tocantins	#6BC0E9
location	Palmas	#82C8EA
location	Paraiso_do_Tocantins	#98D1EC
location	Porto_Nacional	#ADD9EE
location	Presidente_Kennedy	#C2E2F1
location	Wanderlandia	#D6EBF5
location	Alagoas	#664400
location	Almadina	#6C4800
location	Barreiras	#6F4A01
location	Cafarnaum	#724C01
location	Camacan	#754E01
location	Camacari	#785001
location	Campo_Alegre_De_Lourdes	#7B5202
location	Campo_Formoso	#7E5402
location	Central	#815702
location	Coaraci	#845902
location	Condeuba	#865B03
location	Cordeiros	#895D03
location	Dias_DAvila	#8C5F03
location	Eunapolis	#8F6104
location	Feira_de_Santana	#926304
location	Gongogi	#956504
location	Guaratinga	#986705
location	Ibirataia	#9A6905
location	Ilheus	#9D6B05
location	Ipecaeta	#A06D06
location	Irece	#A36F06
